model,M,param,u,x_star,x_plus,Ccrit_exact,Ccrit_numeric,tail_mean,CR_scale,shape_fn,Ccrit_over_CR,tail_over_CR,tail_over_Ccrit,gap
Hayward,10.0,3.0,0.3,1.496096976989742,1.9527982899364444,1457.8047559979923,1457.8047559835943,1459.505471734367,1632.419427810796,1.1600841648997742,0.8930332065166758,0.8940750439926335,1.001166627924197,0.45670131294670235
Hayward,10.0,3.25,0.325,1.4946899655058026,1.9441071407740511,1427.2717884165943,1427.2717884165934,1428.942017493957,1632.419427810796,1.1357868013105537,0.8743290873048963,0.8753522490297005,1.0011702249641015,0.44941717526824854
Hayward,10.0,3.5,0.35,1.4929457167015752,1.9345343970537616,1394.1765976764698,1394.1765976628506,1395.8136434760395,1632.419427810796,1.1094504853162541,0.8540553817998671,0.8550582158581245,1.00117420260984,0.44158868035218646
Hayward,10.0,3.75,0.375,1.4908174356487605,1.9240249238726523,1358.467333896649,1358.4673338966484,1360.0683760470308,1632.419427810796,1.0810339560926,0.8321803274042515,0.8331611060712445,1.0011785650714098,0.4332074882238919
Hayward,10.0,4.0,0.4,1.488255011516549,1.9125135183912847,1320.077672342769,1320.0776723427375,1321.6397968390825,1632.419427810796,1.050484434092975,0.8086632944041213,0.8096202325964145,1.0011833580167606,0.42425850687473576
Hayward,10.0,4.25,0.425,1.4852043479886736,1.899922593755587,1278.9231807542285,1278.9231807485637,1280.443329576038,1632.419427810796,1.017734730259225,0.7834525606383931,0.7843837850503985,1.0011886162082957,0.4147182457669134
Hayward,10.0,4.5,0.45,1.4816064326663234,1.8861590832526427,1234.8965287704584,1234.896528770438,1236.3714658798972,1632.419427810796,0.982699433804207,0.756482376852469,0.7573859051273174,1.0011943811283583,0.4045526505863193
Hayward,10.0,4.75,0.475,1.4773960750240591,1.8711102231911776,1187.8610127835414,1187.8610127806337,1189.287303276969,1632.419427810796,0.9452697594532284,0.7276690001028456,0.728542728060948,1.001200721698985,0.39371414816711847
Hayward,10.0,5.0,0.5,1.4725002077751892,1.8546376797182864,1137.641567830788,1137.6415678279425,1139.015504493457,1632.419427810796,0.9053063949354183,0.6969051877534046,0.6977468444007477,1.0012077061013942,0.3821374719430972
Hayward,10.0,5.25,0.525,1.46683559218312,1.83656915313312,1084.0119186041493,1084.0119185992762,1085.3294725875744,1632.419427810796,0.8626292760818983,0.6640523263423147,0.6648594436560262,1.0012154423404511,0.3697335609500001
Hayward,10.0,5.5,0.55,1.460305680862434,1.8166859990186208,1026.6755865143723,1026.6755864847712,1027.9323174950543,1632.419427810796,0.8170024727276659,0.6289287967438771,0.629698654636568,1.001224077982558,0.35638031815618687
Hayward,10.0,5.75,0.575,1.4527962479968606,1.79470428447108,965.2366969316812,965.2366969278836,966.4275688914108,1632.419427810796,0.7681109578518537,0.5912920910443588,0.5920216045134105,1.0012337615877176,0.3419080364742195
Hayward,10.0,6.0,0.6,1.4441691505771996,1.77024444826673,899.1529544865938,899.1529544741263,900.2722307002166,1632.419427810796,0.7155231865111169,0.550810005791483,0.551495660589848,1.0012448118065318,0.3260752976895305
Hayward,10.0,6.25,0.625,1.4342531427753502,1.7427798640963568,827.6553690938254,827.6553690773168,828.6962359377574,1632.419427810796,0.658627215839147,0.5070114671471271,0.5076490893330673,1.001257609003457,0.30852672132100656
Hayward,10.0,6.5,0.65,1.4228298316100405,1.7115430027644238,749.6006567961734,749.6006567821543,750.5547488509412,1632.419427810796,0.5965132493702118,0.4591961134654269,0.4597805784861889,1.0012728004519709,0.28871317115438333
Hayward,10.0,6.75,0.675,1.4096111850393784,1.675336531413674,663.171507420659,663.1715073995672,664.028008389509,1632.419427810796,0.5277351176185072,0.40625068295715194,0.4067753648828005,1.0012915225688468,0.26572534637429546
Hayward,10.0,7.0,0.7,1.3942013618152154,1.632095745149885,565.1755656211618,565.1755656185815,565.9193200930625,1632.419427810796,0.4497524249168288,0.34621957812589077,0.346675192938622,1.0013159706773298,0.2378943833346696
Hayward,10.0,7.25,0.725,1.3760269180825366,1.5776244880501098,448.99867642062696,448.9986764102071,449.6055263509411,1632.419427810796,0.35730179397030604,0.2750510492409232,0.2754227980206642,1.0013515628490308,0.20159756996757316
Hayward,10.0,7.5,0.75,1.3541957562607083,1.4999999999999123,295.43651024942056,295.4365102196025,295.85554430605305,1632.419427810796,0.2351009048800734,0.18098076095898,0.1812374560518548,1.0014183556943546,0.14580424373920398
