M,g,beta,beta_c,g_c,beta_over_beta_c,Ccrit_numeric,Ccrit_analytic,Ccrit_small_beta,Ccrit_near_extremal,x_star_analytic,y_star_analytic,x_plus_analytic,y_plus_analytic,x_star_near_extremal,y_star_near_extremal,x_plus_near_extremal,y_plus_near_extremal,tail_mean,tail_mean_ratio_to_cr,tail_mean_ratio_to_Ccrit,late_slope,cr_slope,rel_err_analytic,rel_err_small_beta,rel_err_near_extremal,t_near_extremal
10.0,5.0,0.5,0.769800358919501,7.698003589195011,0.649519052838329,1082.5848826395827,1082.5848826505635,1088.279618540531,852.4472619329524,1.3934983698742844,1.4804856320958635,1.7859677833126868,1.8546376797182873,0.7280141725634354,0.8831787109374996,1.7960319665206808,1.8643312003944321,1083.888986581664,0.6639770197021272,1.0012046204995046,1084.445971719718,1632.419427810796,1.0143116219286062e-11,0.005260313525774703,0.21258159466027604,0.34259259259259267
10.0,5.2,0.52,0.769800358919501,7.698003589195011,0.6754998149518622,1036.4665553306104,1036.4665553320235,1043.877810104077,842.8818482590623,1.3823842555327932,1.476951668114077,1.7653267615089545,1.8403202370510663,0.8031312991204179,0.9567757749999998,1.7743533677855292,1.8489807661984614,1037.7212083721956,0.6356952084084555,1.001210509914799,1038.2563805905077,1632.419427810796,1.3634085785131101e-12,0.007150500646017131,0.18677371312748126,0.32219259259259264
10.0,5.4,0.54,0.769800358919501,7.698003589195011,0.7014805770653953,988.1457689875558,988.1457689954641,997.7347542779586,828.4668595095112,1.3703406965011489,1.4728997333448242,1.7431474625348928,1.8248734411300516,0.8735496084919409,1.0269804859374998,1.7511458202779868,1.8325151251427811,989.3482804620337,0.6060625496162027,1.001216937330724,989.8604911403038,1632.419427810796,8.003155054434734e-12,0.009704018973058552,0.1615944878675643,0.30099259259259264
10.0,5.6000000000000005,0.56,0.769800358919501,7.698003589195011,0.7274613391789285,937.5025141454038,937.5025141572587,949.8504510621752,808.8081516960509,1.3572699267560742,1.4682580338879263,1.719260433175971,1.8081638302666128,0.9387217516807416,1.0930684,1.7262470044303808,1.8148081772751805,938.6499956429967,0.5750054058728037,1.0012239769816926,939.1380143320242,1632.419427810796,1.2645216624195945e-11,0.013171097389565328,0.13727361847841696,0.2789925925925926
10.0,5.800000000000001,0.5800000000000001,0.769800358919501,7.698003589195011,0.7534421012924617,884.3812266071902,884.381226623995,900.2249004567269,783.5112280877049,1.3430546276861273,1.462940782447848,1.6934547672344213,1.7900248737570628,0.9979880647260868,1.1542877359375001,1.6994538007583537,1.7957013172886003,885.4705529038989,0.5424283354011445,1.001231738376998,885.9330518583369,1632.419427810796,1.90016851320188e-11,0.017914982105984783,0.11405714581533974,0.2561925925925926
10.0,6.000000000000001,0.6000000000000001,0.769800358919501,7.698003589195011,0.7794228634059949,828.576576649873,828.5765766503807,848.8581024616138,752.175418861482,1.327551692103359,1.45684367562429,1.6654625203285196,1.7702444482666864,1.0505996893562224,1.2098593750000002,1.6705068033937267,1.7749909803108093,829.6043015633416,0.5082053591312049,1.001240349947646,830.0398272434464,1632.419427810796,6.127682480689819e-13,0.024477551482017197,0.09220772097770207,0.23259259259259257
10.0,6.200000000000001,0.6200000000000001,0.769800358919501,7.698003589195011,0.805403625519528,769.8111935082347,769.8111935121473,795.7500570768358,714.3815422342669,1.3105831456497343,1.449837294892483,1.6349345915556541,1.7485454293970328,1.0957293171107731,1.2589768609375,1.6390663290401761,1.752409321760541,770.7734851486624,0.4721663268749079,1.0012500359160046,771.1804124210892,1632.419427810796,5.082457300158189e-12,0.03369509795043475,0.07200421576277699,0.20819259259259254
10.0,6.400000000000001,0.6400000000000001,0.769800358919501,7.698003589195011,0.8313843876330612,707.69896689678,707.6989669139197,740.900764302393,669.6671712861984,1.2919224597592245,1.4417571369791533,1.6014015394265164,1.7245541135254692,1.132473968919798,1.3008064,1.6046734013887627,1.7275927544200285,708.5914146332246,0.4340743577056676,1.0012610555874597,708.9678979646146,1632.419427810796,2.4218849864572636e-11,0.046915141830997695,0.053740075073655844,0.18299259259259248
10.0,6.600000000000001,0.6600000000000001,0.769800358919501,7.698003589195011,0.8573651497465944,641.6806847425639,641.6806847427379,684.3102241382854,617.4769656090481,1.2712730215475485,1.4323878997375794,1.5642058987035516,1.6977455915239437,1.1598513620351631,1.3344868609375002,1.5666822984502606,1.7000274775065818,642.4980739482689,0.3935863926894756,1.0012738254791524,642.8419276401015,1632.419427810796,2.710707456994064e-13,0.06643419446671371,0.03771925773833468,0.15699259259259246
10.0,6.800000000000002,0.6800000000000002,0.769800358919501,7.698003589195011,0.8833459118601276,570.9015991070062,570.9015991111867,625.9784365845129,557.0586954521092,1.248232434227361,1.4214373745815054,1.5223755622948238,1.6673414025545221,1.176789592616943,1.359129775,1.524134263543095,1.668947348871753,571.6375185084447,0.3501780907343501,1.0012890477143341,571.9460695812436,1632.419427810796,7.322614620870417e-12,0.09647343353680723,0.024247442425366826,0.13019259259259247
10.0,7.000000000000002,0.7000000000000002,0.769800358919501,7.698003589195011,0.9093266739736607,493.9512948471356,493.95129485971694,565.9054016410755,487.2268817815983,1.2222292120843388,1.408490059202515,1.4743596987622078,1.6320957451492202,1.1821081032611835,1.3738193359375,1.4754939205004782,1.6331204209836676,494.5973553170779,0.3029842373172269,1.0013079436711312,494.86711093553873,1632.419427810796,2.5470779321699714e-11,0.14567044877614446,0.013613514400480167,0.1025925925925924
10.0,7.05,0.705,0.769800358919501,7.698003589195011,0.9158218645020438,473.48733029016756,473.48733029024015,550.6150730005818,468.07638034484495,1.2151735708016762,1.4048743029804824,1.4611085018047218,1.622301776503385,1.1814710355557139,1.3758265907653808,1.4621032414575277,1.6231977355456757,474.109243671645,0.2904334729141659,1.0013134741770098,474.36860356198736,1632.419427810796,1.5330726133847561e-13,0.16289293878919206,0.01142786638452737,0.09556759259259273
10.0,7.1,0.71,0.769800358919501,7.698003589195011,0.922317055030427,452.42796928260003,452.4279693053295,535.2159163982332,448.15820591702834,1.2078638655423186,1.4010835512855158,1.44724838931982,1.6120260234837445,1.1800037788069935,1.3771379444335938,1.4481109235198002,1.6128004361412385,453.02493584121646,0.27751748608429566,1.0013194731518544,453.27356210908437,1632.419427810796,5.0238861989772456e-11,0.18298591761890234,0.009437443428491198,0.08849259259259268
10.0,7.1499999999999995,0.715,0.769800358919501,7.698003589195011,0.9288122455588104,430.7004791008698,430.70047910937114,519.7079318340307,427.40807551613096,1.2002802670285326,1.397103331689566,1.4327041717334152,1.6012077453292348,1.1776832283217182,1.377738286566162,1.4334421181553032,1.6018680676327754,431.27156436555487,0.2641916391205441,1.001325945273795,431.50907460096596,1632.419427810796,1.9738383417434875e-11,0.2066574268015043,0.007644299796489826,0.08136759259259274
10.0,7.199999999999999,0.72,0.769800358919501,7.698003589195011,0.9353074360871937,408.21432296755347,408.21432297777557,504.091119307974,405.7447555944491,1.1924001036295746,1.3929170855208217,1.4173831530911287,1.589771997069564,1.174485387152075,1.3776123999999998,1.418004491399877,1.5903259847057218,408.7584912847377,0.25040040832699184,1.0013330456247305,408.98445402194255,1632.419427810796,2.5041000756685202e-11,0.23486877100106357,0.00604968330153539,0.0741925925925927
10.0,7.25,0.725,0.769800358919501,7.698003589195011,0.941802626615577,384.8545498600509,384.8545498778082,488.36547882006323,383.06350418596924,1.1841972508437233,1.388505717995368,1.40116880685355,1.577624488051387,1.1703852729108688,1.376744960784912,1.4016819027351402,1.5780802123007571,385.37059798645424,0.23607327346211923,1.0013408913226853,385.5845166189662,1632.419427810796,4.6140329182505735e-11,0.2689611672712541,0.004653824866389022,0.06696759259259266
10.0,7.3,0.73,0.769800358919501,7.698003589195011,0.9482978171439602,360.47168777158555,360.4716877775385,472.5310103702986,359.2260175247457,1.175641340637793,1.3838470153223683,1.383911165528742,1.5646437658697652,1.1653568099660878,1.3751205381835938,1.3843247986245462,1.565009631947002,360.9581967852066,0.2211185376966998,1.001349645561982,361.1594842279173,1632.419427810796,1.6514270724002652e-11,0.31086858247164173,0.0034556673633385614,0.05969259259259274
10.0,7.35,0.735,0.769800358919501,7.698003589195011,0.9547930076723435,334.8655923889217,334.8655924074835,456.5877139586798,334.0443302779842,1.1666967209927643,1.3789148772767912,1.3654115578474508,1.5506687983910048,1.1593727042535564,1.372723594671631,1.3657349547370219,1.550953566871212,335.32088052509863,0.20541343407973928,1.0013596145633503,335.508839290794,1632.419427810796,5.5430659186706305e-11,0.3634954570918914,0.0024525126785305755,0.052367592592592715
10.0,7.4,0.74,0.769800358919501,7.698003589195011,0.9612881982007269,307.7581784017061,307.7581784026388,440.53558958520694,307.25359135449,1.1573210617063796,1.3736782883445389,1.3453970024745623,1.535478132135895,1.1524042973123536,1.3695384859375,1.3456398764146775,1.5356909444928393,308.18014995760404,0.1887873574078312,1.0013711140288435,308.3539173610523,1632.419427810796,3.030583367473452e-12,0.4314342249913861,0.001639556907428375,0.044992592592592695
10.0,7.45,0.745,0.769800358919501,7.698003589195011,0.9677833887291102,278.7440281265715,278.74402813379874,424.37463724988,278.46270120309794,1.1474634471634302,1.368099909573925,1.3234741253554414,1.5187523697052627,1.1444213953420626,1.3655494608825685,1.323646725379164,1.5189027795112444,279.1300421244166,0.17099161978165878,1.0013848332480502,279.28852308798025,1632.419427810796,2.5927883918424192e-11,0.5224528399840045,0.0010092661907928403,0.03756759259259268
10.0,7.5,0.75,0.769800358919501,7.698003589195011,0.9742785792574934,247.19216338175627,247.19216338745161,408.10485695269904,247.05607765392273,1.1370617042488453,1.3621341047302533,1.299038105675791,1.499999999999249,1.135392068049188,1.3607406616210938,1.299151279314894,1.5000980123130374,247.53866068756565,0.15163912930118373,1.001401732567364,247.6803946074026,1632.419427810796,2.3040136101866026e-11,0.6509619535245297,0.0005505260602593582,0.03009259259259267
10.0,7.55,0.755,0.769800358919501,7.698003589195011,0.9807737697858767,212.02320758755465,212.02320758836441,391.72624869366405,211.9707416854916,1.1260385529348231,1.3557240953437208,1.2710674664673354,1.4783901732329292,1.1252824107179193,1.3550961234802246,1.2711327437510607,1.4784462967034344,212.32508661478246,0.1300677283040715,1.0014238018123707,212.44797767226103,1632.419427810796,3.8192183421583704e-12,0.8475630717543093,0.00024745358142644135,0.022567592592592667
